nothing,bug,vcl
,"Deleted files should be removed from the index, once every device knows about the delete",core access: socket 70 polling interrupted
,Database performance: reduce iteration,core access: socket 70 polling interrupted
,"""device present in global list but missing as device/fileinfo entry"" panic after upgrade on Debian",Playing .3gp video as an audio file
,Consider moving ignores into stfolder,VLC Android - dlfree
,Next Gen Ignores: Requirements,error: too many initializers for 'const gcry_thread_cbs
,stcli - man page,Album art NOT moving.
,"Folder state ""uploading""",VLC crashes on Andoid for OnePlus 6T mobile
,Windows Symlink and Disk load point support,Freeze entire android OS when playing a video. libvlc stream: unknown box type cTIM (incompletely loaded)
,Consider proxy behavior and change either implementation or docs,VLC for Android - All videos result in corrupted playback every ~10 seconds
,Download rate shows zero even though there is activity,VLC for Android - All videos will eventually fall out of audio / video sync
,"MacOS binaries get ""identity of the developer cannot be confirmed"" complaint when launched from Finder",Subtitle and Audio Track are no longer available in the 0.0.3
,cmd/strelaysrv: Export Prometheus metrics,VLC Android Beta MPEG-TS: H.264 AVC-AAC no lips-sync
,Debian SysVinit Script,On call video position resets
,Use a real login screen + sessions instead of HTTP basic auth,Unable to control player from bluetooth headphones
,Browser push notifications,"No video on the new Nexus 7, only audio seems to work"
,Syncthing incorrectly deletes file on sync,libvlc dependency: port or remove dep of videolan.vlc.Media
,"Local Additions after removing a RO folder, re-adding as SR, removing, and re-adding as RO again",BCM2763 hardware decoding does not work.
,Allow skipping Full Rescan on startup if Interval has not yet been exceeded.,"Crash while listening from ""folder"" music files in Android 4.4.3 with Nexus 5"
,Delete leftover temp files when removing folder from Syncthing,Android: Crash with wmv video
,gui: Don't roll-up expanded folder/device sections on pause/resume/etc,Freeze when seeking on pause.
,Local discovery only keeps one address per device,vlc for android can't seek any clip
,"Receive Only Folder: No Local Changes shown, but one file isn't deleted.",
,IPv6 addresses with localized zone identifiers cause 'invalid URL escape' messages on Windows,
,New copy-on-write stuff should support Darwin clonefile(2),
,Usage report transport type is wrong for QUIC,
,Convert unencrypted Folders to Encrypted & vice versa,
,Need accounting is failing,
,Should not create sync-conflict file if an identical sync-conflict file already exists,
,"Syncing a password-protected folder between two devices fails with ""generic error"" when set to something else than ""Receive Encrypted""",
,Replace identicons with selectable icons,
,Bundle SELinux policy,
,Syncthing keeps performing version cleanup even when using External Versioning,
,Refactor pulling to enable unit testing,
,"ursrv: unrealistic uptime data, likely due to unset RTC (1970-01-01)",
,Object Store (S3) backend,
,Distributed integration test suite,
,Prevent busy loop over network with two mutual introducers,
,Change how we acquire locks,
,"Ignoring deletions, pending deletions even all endpoints are in sync",
,Support encrypted keys,
,Support non-recursive scans for directory change notification events,
,Accepting changes for send-/receive-only folders,
,Add support for ppc64el to Debian repo,
,Use camera (webcam) to scan QR codes,
,Prompt to delete .stversions when disabling file versioning,
,TestCSRFRequired in lib/api should not overwrite ~/.config/syncthing/csrftokens.txt,
,Show RemoteDownloadProgress in GUI?,
,macOS should sometimes be case sensitive in ignore patterns,
,Discovery server connection test,
,setLowPriority should not increase process priority when already lower (in Windows),
,UPnP parse: Malformed root device description: not an InternetGatewayDevice.,
,Allow passive devices,
,Syncthing announces address of interface which is down,
,One-shot mode,
,Smarter subtree pruning when walking with ignore exclusions,
,Device address URLs should be more carefully validated,
,Suspecting a memory leak related to QUIC connections,
,Appimage package distribution,
,Windows dynamic disk Failed to start filesystem watcher,
,Allow adding device while adding or changing a folder,
,Sort out UNC-ness of Windows paths,
,opposite of allowednetworks,
,Export and Import config,
,Prioritize manually configured device addresses,
,Option to specify where the temp files are saved for unfinished transfers,
,New Temporary Folder Type,
,Language names should be localized,
,Consider a less racy config system,
,"Feature request (a small UI enhancement): when the path field is uneditable, say why",
,Consider alternative backends for the database,
,Testing: REST API compatibility checker,
,Directories with a path length of 203 not handled on receive-encrypted,
,Show more verbose scanning progress during initial walk phase,
,panic: sync: WaitGroup is reused before previous Wait has returned,
,Consistently check config only once,
,Rename special characters to '_',
,"Incorrect local state and ""Remote devices syncing"" forever",
,Safeguard against encrypted folders not having been unlocked,
,Add a way to switch between folders or devices to the edit modal dialog,
,Could we have a .stsharedignore file that gets synchronized between all the devices?,
,Gracefully handle database corruption,
,Distribute Syncthing through Microsoft Store,
,migrate away from unmaintained gogo-protobuf?,
,Consider switching to new embed functionality,
,ability to decrypt specific or all staggered files,
,Out of Sync Items list unexpectedly empty,
,Show paths in list of not in sync items,
,Remove /rest/db/browse,
,Trash Can File Versioning always throws errors on restore (even when succeeded),
,Scheduled rate limits,
,Database: (optionally) garbage collect deleted files,
,Show internally used paths in the GUI for debugging,
,Filesystems larger than 2^63-1 bytes fail the free space check,
,Folder defaults are not applied consistently on config migrations / new folders,
,Collect Amount of all time transfered Data,
,Revert Local Changes red button needs GUI refresh,
,"Allow for open/anonymous ""devices""/nodes",
,"Suppress ""dir not empty"" pull errors caused by errors on children",
,"Globbing needs to take care of special file names (versioning, conflicts)",
,"Pagination of Out of Sync Items sometimes doesn't work, resulting in all items being displayed at once",
,Auto-upgrade on Windows does not set execute permissions on syncthing.exe if it is not inherited,
,Manually configured addresses causes invalid and unexpected DNS queries,
,Fix cookie SameSite and Secure policy,
,protocol: Micro-Delta indexes,
,Binding to specific interfaces/IPs for outgoing connections,
,No watcher events received for items in a deleted then recreated subdirectory,
,Cache device connection details between sessions,
,Restore Versions file filter should have an option to disable case sensitivity,
,Device tries to push ignored files to a remote device in a 3-device setup,
,Overview of all included and/or excluded files,
,cmd/stdiscosrv: Better cache invalidation,
,Enable stopped folder if it's healthy when a pull is started,
,Request for Control Characters in .stignore,
,Reuse blocks from versioning directories,
,https://apt.syncthing.net/ incorrect,
,Feature request: Show countdown until next folder scan,
,Could you please add choosing network interfaces?,
,RedHat/Centos packages and repo,
,Show the HDD speed rate on the 'out of sync items' modal,
,Add list of connected applications,
,Restore Versions modal extremely laggy and RAM-hungry with many items,
,URL scheme to add/create/share folders/devices (i.e. syncthing://...),
,Choose files to accept when in Send Only mode,
,Unexpected cleanup behavior for Simple File Versioning,
,Can't close dialogs with keyboard Escape,
,Update and re-sort pull queue when new index updates arrive,
,"Vague error message ""folder marker missing""",
,"External conflict handling tool (to merge, or select winner)",
,Option to auto accept folders from introduced devices,
,.desktop files lack localization,
,Suggestion: move no sync on mobile data or no sync while disconnected from charger into core,
,"""Receive Encrypted"" folders have ""Watch for Changes"" enabled and ""Full Rescan Interval"" set to 3600 when added using ""Auto Accept""",
,'Latest Change' does not report changes to directories,
,Better way of enabling/disabling/editing default listen addresses,
,Empty versioner archive / trash from GUI,
,Date selector dialog on restore versions partially hidden,
,Request: support listing the discovered devices using the cli,
,Feature/docs request: Add systemd instructions to APT download page,
,"per folder option ""deep scan"" for altered files, if modification time is not updated",
,Non-source / read only / untrusted / backup devices,
,"""Out of Sync Items"" report ""0 items"" when syncing 0-byte files",
,Use inode index for fast rename/additional link detection,
,Disallow all unauthenticated web GUI access,
,lib/sync: Spurious TestRWMutex failure on windows,
,Enable kqueue-based FS notifications on macOS,
,Change blue progress bar in web-gui to be proportional to amount of changing files instead of whole dataset,
,Feature Request: UI to monitor all on-going downloads,
,Bug: Receive encrypted when the last device that changed the file is not available,
,Potential deadlock,
,"""What's new"" after upgrade",
,Feature Request: Syncthing to bring up GUI when gets folder add/device share request,
,Maintain external index file,
,Automatically resolve case-conflict if files are otherwise identical,
,Warn if two devices are introducers to each other,
,"suggestion: more detail in 'out of sync' dialog, and user specified actions",
,lib/model: Local symlink modification race,
,Native iOS port / GUI,
,"TestIssue5063 fails on Linux/ppc64 (v1.3.4, source build using go 1.13.9)",
,Postpone syncing of particular file which has already started syncing,
,In place file updates,
,User selectable normalization form for autoNormalize,
,Add progress indication to folder metadata check,
,Increase the number of scrypt rounds,
,Notify about remote ID deletions and ask what to do,
,"Add mailto link to ""Show ID"" dialog, for sending device ID via email",
,Request file & block cache,
,Figure out how to make Sentry public,
,Browser doesn't open when auto upgrading on startup,
,Editable Folder Paths,
,Database correctness: bubble errors instead of panics,
,Syncthing does not take care of network interface priority,
,Changing a folder label should not trigger a rescan,
,Custom .stignore name.,
,Always Local Nets is not documented,
,Consider supporting linux quota for determining free space,
,Android: Sync conflict not detected: newest copy is propagated to other clients,
,Remote device address extremely long when connection failed,
,Check if update download location is writable before wasting bandwidth,
,Update the rolling hash function to buzhash32 (pending the benchmarks check out),
,Invitation System (file containing all info need to add device + folders),
,Implement upgraded web GUI,
,One time push for stars and/or donations,
,Bug: Receive encrypted on Windows can have illegal file names.,
,Show a progress bar when running syncthing -upgrade,
,ACME (Let's Encrypt) support for the discovery server,
,API Request fails with CSRF Error when using an invalid token,
,A command to wait for sync,
,Advanced config doesn't handle arrays of objects,
,State Information Should React With Brevity Not Truncation in WebUI,
,Better document (docs & GUI) privacy aspects of usage report / discovery / relays / etc,
,Clearer indication of what folders are in sync on which device in the web UI,
,Push to top of queue arrows missing in GUI ...,
,"Add the ability to search for, and share with, users rather than devices.",
,Version in about dialog doesn't update on upgrade,
,Configurable restore path,
,Trigger a rescan after detecting that ignores have changed,
,Allow sub-second watcher delay (use case: remote development),
,Show if devices have not connected in a long time,
,Selection of time in versions GUI not possible without editing the string inside the textfield,
,"Page numbering on ""Out  of Sync"" pop-up",
,gui: Current file not on top of list (out of sync items),
,Consider adding a protocol message or field to indicate complete index transfer,
,Manually trigger a folder scan when waiting due to IO limit,
,"fs events have wrong paths after renaming a directory, then back to original name",
,"""Receive Encrypted"" folder incorrectly reports ""unexpected items"" after ""reverting local additions""",
,"Distinguish between creating and updating files in ""Latest Change""",
,feature request: a browse button for folder paths,
,use IDs as label on untrusted clients,
,Back Button on Mobile Devices should close current Modal,
,"Use API URL versioning for discovery, relaysrv",
,REST API: db/completion no output when one folder is paused,
,"Connection not dropped and sync stalled when sharing folder first, and only then adding password",
,Don't sync on metered networks,
,cmd/stdiscosrv: Device access control,
,Display next page of ignored files,
,WebUI tooltip inconsistencies,
,gui: Auto select of device ID is broken on Internet Explorer,
,"Improvements for ""Out of Sync Items"" screen",
,Private relay server with authentication,
,GUI check for own/already-existing device ID could be better,
,Separate integration test runner,
,"Option for trashcan versioning to affect only deleted files, enable by default",
,Add UPnP portmapping for UDP,
,Database correctness: ensure transactional updates,
,cmd/strelaysrv: Volume quota as an alternative to bandwidth limit,
,Local sync between directories,
,Proposal: Installer for Windows,
,ETA and bytes left for synchronization,
,favicon not working Firefox & derivative browsers,
,gui: Inform user about unclean shutdown/restart,
,relaypoolsrv: cluster markers,
,allowedNetworks doesn't work with hostnames that have multiple IP addresses,
,"""Restore Versions"" GUI breaks when path exists as both directory and file",
,"New concept ""folder group"" to manage folders with identical sharing/policy",
,Race condition with remove and rename,
,"Alternative, more resource efficient puller",
,lib/connections: Parallel dial isn't great in some circumstances,
,Add an option to change how folder names are generated when a new share is accepted,
,"Remove the ""self"" device as it's confusing and serves very little purpose",
,"Web UI shows up to date, but with different global (and local) states",
,Integration tests are broken,
,Syncthing is not watching directory for changes if for brief moment after creation it had permission preventing syncthing from adding inotify there.,
,Hashsums for relaysrv / discosrv release assets,
