rating,time,software_type,author,country_id,language,content,url,version,Sentiment(From Appbot),review,,,,
5,2022-06-14T07:49:24.000Z,google_play,Stefan Zoerner,134,en,"Great app. Automatic synchronisation between devices, backup etc.",https://appbot.co/apps/1392427-syncthing/reviews/2852886363,None,positive,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",,,,
5,2022-06-11T00:57:34.000Z,google_play,Devender Jangra,134,en,Best app,https://appbot.co/apps/1392427-syncthing/reviews/2852886366,None,positive,"R/W folder is ""out of sync"" and just sits there and does nothing.",,,,
5,2022-06-10T22:33:54.000Z,google_play,Viacheslav Rodionov,134,en,In this crazy world this is a breath of fresh air.,https://appbot.co/apps/1392427-syncthing/reviews/2852886368,None,positive,The only way I can get it to sync is to restart the daemon,,,,
5,2022-06-10T01:05:02.000Z,google_play,Achille Verheye,134,en,Does the thing,https://appbot.co/apps/1392427-syncthing/reviews/2852886372,None,positive,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,,,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",
5,2022-06-09T15:44:49.000Z,google_play,Timo Saarinen,134,en,Very useful app which transparently syncs directories between computers and phones.,https://appbot.co/apps/1392427-syncthing/reviews/2852886374,None,positive,Not syncing files. It says 900MB/900MB done but the folder is 200GB...,,,"R/W folder is ""out of sync"" and just sits there and does nothing.",
5,2022-06-08T01:23:21.000Z,google_play,Taeler Watkins,134,en,"Works great! Took some figuring and doc diving to get things just right, but it's amazing once configured. I've got everything configured all local network and it's sweet. I can appreciate the defaults for using global servers as a convenience for getting started, but I'm more the type that would have preferred opening to the documentation first and not having global on by default. Maybe an idea for the future. A splash screen to present fast and easy, or advanced defaults.",https://appbot.co/apps/1392427-syncthing/reviews/2852886377,None,positive,It doesn't always start when plugged into AC power when set to only run on AC for battery savings.,,,"Bug Motorola con Android 12 indipendente dalle impostazioni alla seconda o terza apertura dell'app appare l'avviso ""syncthing è disabilitato""",
2,2022-06-03T22:35:13.000Z,google_play,Richard Vendelbo Nielsen,134,en,"IMPORTANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",https://appbot.co/apps/1392427-syncthing/reviews/2852886383,None,negative,"Started freezing and crashing immediately while trying to synchronize a few GiB over WiFi. Finally deleted several GiB from the source thanks to lousy defaults, poor UI, and general unreliability. Don't use for anything at all valuable until you're sure all your settings are perfect and everything is backed up twice over.",,,"A volte (raramente) sullo smartphone si blocca e non si avvia (accade solo sullo smartphone e non sul tablet). Comunque il servizio è molto comodo, efficiente ed efficace. Unica nota è che l'interfaccia web ha molte più impostazioni ed informazioni a disposizione.",
5,2022-06-03T07:25:30.000Z,google_play,Sevaan Simon,134,en,This is such an awesome app! It's like having a personal cloud storage system. I set up a 300gb folder and have synced it across a whole bunch of computers. Convenient and free!,https://appbot.co/apps/1392427-syncthing/reviews/2852886390,None,positive,Version 18.3 keeps crashing. Fix?,,,The only way I can get it to sync is to restart the daemon,
5,2022-06-03T03:56:22.000Z,google_play,Atul Mehla,134,en,does what I wanted it to do....,https://appbot.co/apps/1392427-syncthing/reviews/2852886401,None,positive,"I was only looking for a way to send a folder from one device to another. Looking for options I stumble upon this app. I thought it will easily sync both my device but I soon as I open it, I have no idea what to do. Checked out some tutorials but it doesn't seem to connect with my other device. Overall, this app is for advance users. UI is clean & easy to navigate but everything else is not newbie friendly, so I'll pass on this one.",,,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,
4,2022-06-02T22:27:49.000Z,google_play,Robert Turner,134,en,"Works great, takes little while to setup right. Overall it works awesome",https://appbot.co/apps/1392427-syncthing/reviews/2852886405,None,positive,"Can't fathom where the heck to get a 'device id' for a server directory. Very hard to find help, not well structured.",,,Not syncing files. It says 900MB/900MB done but the folder is 200GB...,
