feedback,issue,distance,,37/150,,,,14/50,,feedback,issue,distance,,39/100
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",The app crash after reopening the recent closed tabs,[0.7971831],,1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",The app crash after reopening the recent closed tabs,1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",The app crash after reopening the recent closed tabs,[0.7971831],,1
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Launching and closing an app, then removing it from the activity list, then re-launching it causes it to never launch ever again",[0.77496916],,0,,"I enjoy using it when it is working, it freezes and crashes quite often",FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,0,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Launching and closing an app, then removing it from the activity list, then re-launching it causes it to never launch ever again",[0.77496916],,0
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Entering reply box in XenForo forums causes all web pages to go blank until app is restarted.,[0.74916804],,0,3,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",no menu icon ( devices no any menu key ),1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Entering reply box in XenForo forums causes all web pages to go blank until app is restarted.,[0.74916804],,0
"I enjoy using it when it is working, it freezes and crashes quite often",FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,[0.5991973],,0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to log out from the Instagram panel account,0,,"I enjoy using it when it is working, it freezes and crashes quite often",FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,[0.5991973],,0
"I enjoy using it when it is working, it freezes and crashes quite often",Panning with two fingers is jittery because it also zooms by tiny amounts,[0.55988955],,0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts reset password flow can confusingly lead to signing in on the browser, not the Android application",0,,"I enjoy using it when it is working, it freezes and crashes quite often",Panning with two fingers is jittery because it also zooms by tiny amounts,[0.55988955],,0
"I enjoy using it when it is working, it freezes and crashes quite often",Frequent crash on shutdown,[0.55809724],,1,4,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Excessive battery usage,1,,"I enjoy using it when it is working, it freezes and crashes quite often",Frequent crash on shutdown,[0.55809724],,1
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",no menu icon ( devices no any menu key ),[0.7427997],,1,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Download notification needed - Because automatical downloading starts without users' knowledge after tapping on pictures or opening some websites,0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",no menu icon ( devices no any menu key ),[0.7427997],,1
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Menu icon not visible in the browser,[0.7356397],,1,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","[User Story] As an Android user, I want to change the name of a top sites item so i can more easily recover it later (mental queues)",0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Menu icon not visible in the browser,[0.7356397],,1
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Pressing menu button won't pop up the menu,[0.73188543],,0,5,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"after sharing a page, Firefox reopens some other random page that was in a previously closed tab",0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Pressing menu button won't pop up the menu,[0.73188543],,0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to log out from the Instagram panel account,[0.7172911],,0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Opening large image kills the browser and home screen,0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to log out from the Instagram panel account,[0.7172911],,0
