feedback,issue,distance,53/150,,1suggestion,,19/50,,2suggestion,,37/100,,,Matching Bug Report,Firefox,Matching Bug Report,Nextcloud,Matching Bug Report,Signal,Matching Bug Report,VLC,,,,Matching?Bug?Report,ALL
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",latest update crashes constantly,[0.7117835],1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",latest update crashes constantly,1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",latest update crashes constantly,1,,,TRUE,0.7117835,FALSE,0.66919535,FALSE,0.7849455,FALSE,0.6378555,,,,TRUE,0.455128
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",06/03/2012 build instantly crashes every time: Unable to instantiate in loader,[0.7070031],1,,"I enjoy using it when it is working, it freezes and crashes quite often",Frequent crash on shutdown,1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",06/03/2012 build instantly crashes every time: Unable to instantiate in loader,1,,,TRUE,0.7070031,FALSE,0.66228557,TRUE,0.7832185,FALSE,0.6172599,,,,TRUE,0.570335
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",[0.693178],1,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Regression: No content is rendered when the pages are opened in new tab from context menu,0,,"I enjoy using it when it is working, it freezes and crashes quite often",Frequent crash on shutdown,1,,,TRUE,0.693178,FALSE,0.6464953,FALSE,0.7799436,FALSE,0.5992101,,,,TRUE,0.606945
"I enjoy using it when it is working, it freezes and crashes quite often",Frequent crash on shutdown,[0.5775883],1,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Could not able to login to the application,1,,"I enjoy using it when it is working, it freezes and crashes quite often",Session restore can cause crash loops (again),1,,,TRUE,0.5775883,TRUE,0.7710717,FALSE,0.6510277,FALSE,0.5147964,,,,TRUE,0.748448
"I enjoy using it when it is working, it freezes and crashes quite often",Session restore can cause crash loops (again),[0.57424223],1,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Regression: No content is rendered when the pages are opened in new tab from context menu,0,,,TRUE,0.57424223,TRUE,0.75771403,FALSE,0.6446865,FALSE,0.5050167,,,,TRUE,0.662624
"I enjoy using it when it is working, it freezes and crashes quite often",fennec crashes on startup for talos ts quite frequently,[0.5703805],1,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Pressing menu button won't pop up the menu,0,,,TRUE,0.5703805,FALSE,0.7265629,FALSE,0.63865924,FALSE,0.50419337,,,,TRUE,0.53596
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Regression: No content is rendered when the pages are opened in new tab from context menu,[0.7852011],0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Installing an update for the application lets it forget/drop the currently opened tabs, no ""Tabs from last time/session"", about:home opened",0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Could not able to login to the application,1,,,FALSE,0.7852011,FALSE,0.7278491,FALSE,0.6947763,FALSE,0.5107061,,,,TRUE,0.731499
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Pressing menu button won't pop up the menu,[0.7794063],0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox for Android crashes shortly after starting it on Impression I10,0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Can't switch to app,0,,,FALSE,0.7794063,FALSE,0.7117602,FALSE,0.6786988,FALSE,0.4771636,,,,TRUE,0.708282
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to add search engine from page menu after removal,[0.7465457],0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Tabs from last time can get lost if Firefox is mistakenly opened/killed,1,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",0,,,FALSE,0.7465457,FALSE,0.709923,FALSE,0.67543375,TRUE,0.45512766,,,,TRUE,0.646261
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Could not able to login to the application,[0.77500093],1,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Identify when mobile data is denied to Firefox, notify user",1,,,TRUE,0.77500093,FALSE,0.6260853,FALSE,0.640447,FALSE,0.65084124,,,,TRUE,0.588821
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Can't switch to app,[0.7429221],0,,"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox on Android Crashes constantly,0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",0,,,FALSE,0.7429221,TRUE,0.6170232,FALSE,0.6214603,FALSE,0.62409174,,,,TRUE,0.550666
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to launch app from about:apps,[0.7317716],0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Maximal scrolling speed is too low, making the browser feel slow",0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Only happening with latest version, But keep getting FFbeta draining battery too fast",1,,,FALSE,0.7317716,FALSE,0.6061885,FALSE,0.62039286,FALSE,0.6191688,,,,TRUE,0.473376
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",[0.664412],0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",I am able to type words in Firefox search bar but unable to type anything in the websites,0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Installing an update for the application lets it forget/drop the currently opened tabs, no ""Tabs from last time/session"", about:home opened",0,,,FALSE,0.664412,FALSE,0.7453019,TRUE,0.6397126,FALSE,0.6860113,,,,TRUE,0.483964
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Identify when mobile data is denied to Firefox, notify user",[0.64849126],1,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,Sync does not work If the browser is stored on the external SD card,0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Starting web-apps via shortcut without a profile; downloads .webapp and launches empty app,0,,,TRUE,0.64849126,FALSE,0.74009335,FALSE,0.6320865,FALSE,0.6554137,,,,TRUE,0.711784
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Firefox Accounts (Sign-Up) - Remote Error! if  you try to use and existing e-mail,[0.6410646],0,,Browser doesn't work on home Depot website.,"[TABLET] ""Request desktop site"" does not work on youtube.com",0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox for Android crashes shortly after starting it on Impression I10,0,,,FALSE,0.6410646,FALSE,0.7380608,FALSE,0.6293218,FALSE,0.5673213,,,,TRUE,0.707003
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",[0.6425414],0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","""This URL is not valid and cannot be loaded"" dialog appears if the browser has several pages in memory",0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","Android: uninstalling firefox will delete all downloaded files, very annoying",0,,,FALSE,0.6425414,TRUE,0.7709247,FALSE,0.7435757,FALSE,0.6714875,,,,TRUE,0.693178
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Only happening with latest version, But keep getting FFbeta draining battery too fast",[0.589792],1,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",1,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Tabs from last time can get lost if Firefox is mistakenly opened/killed,1,,,TRUE,0.589792,FALSE,0.76031184,FALSE,0.7278534,FALSE,0.6045515,,,,TRUE,0.577588
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Intermittent bugs/348049-1.xhtml == bugs/348049-1-ref.xhtml | application ran for longer than allowed maximum time,[0.57657105],1,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Removing an app from the recent apps launched list and re-running the app causes the app to lose internet connection,0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Firefox Accounts (Sign-Up/Sign-In) - Age year not remembered if switching from Sign-Up/Sign-In,0,,,TRUE,0.57657105,FALSE,0.7441722,FALSE,0.7213299,FALSE,0.5826669,,,,TRUE,0.574242
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Installing an update for the application lets it forget/drop the currently opened tabs, no ""Tabs from last time/session"", about:home opened",[0.7198267],0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","After viewing some pages, switching tabs or navigating back to prior pages do not display at all in content view",0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",0,,,FALSE,0.7198267,TRUE,0.81618464,FALSE,0.6815926,TRUE,0.5703347,,,,TRUE,0.570381
