feedback,issue,distance,,,,1suggestion,,,,,2suggestions,,,,
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",App crashes on startup,[0.7040476],1,,81/150,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",App crashes on startup,1,29/50,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",App crashes on startup,[0.7040476],1,55/100
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",The app crash after reopening the recent closed tabs,[0.69275475],1,,,"I enjoy using it when it is working, it freezes and crashes quite often","Not reliable, crash or freeze frequently",1,,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",The app crash after reopening the recent closed tabs,[0.69275475],1,
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Packaged app crashes nightly,[0.6912117],1,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",The menu stays open after pressing the home button,0,,,"I enjoy using it when it is working, it freezes and crashes quite often","Not reliable, crash or freeze frequently",[0.5810501],1,
"I enjoy using it when it is working, it freezes and crashes quite often","Not reliable, crash or freeze frequently",[0.5810501],1,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Can't switch to app,0,,,"I enjoy using it when it is working, it freezes and crashes quite often",about:crashes should be responsive,[0.4313564],0,
"I enjoy using it when it is working, it freezes and crashes quite often",about:crashes should be responsive,[0.4313564],0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",password not synchronized between firefox accounts on different devices,0,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",The menu stays open after pressing the home button,[0.658991],0,
"I enjoy using it when it is working, it freezes and crashes quite often",I am currently using firefox 24 it always crashes,[0.40998003],1,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Excessive battery usage,1,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.","Add to home screen button present, but it doesn't do anything",[0.607204],0,
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",The menu stays open after pressing the home button,[0.658991],0,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Download is restarted after resuming a paused download,0,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Can't switch to app,[0.60814226],0,
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.","Add to home screen button present, but it doesn't do anything",[0.607204],0,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Animated GIFs not working properly on the Samsung Galaxy SII (i9100),1,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,This app is incompatible with all of your devices.,[0.5626291],0,
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",new menu button is hard to click,[0.59623426],0,,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Recent Tabs History Tab (List) is always empty if Always Restore is set to true,0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",password not synchronized between firefox accounts on different devices,[0.5815648],0,
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Can't switch to app,[0.60814226],0,,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Bad experience with no Firefox browser installed,0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox does not load manually entered webpages after device restart or app install if ""Do not keep activities"" is enabled",[0.5655724],0,
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,This app is incompatible with all of your devices.,[0.5626291],0,,,"Firefox great as always in personal control, but horrible slow in the android departure.",I hate Firefox and Android,1,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Excessive battery usage,[0.57349646],1,
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Getting to ""My Apps""  quickly",[0.5577283],0,,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Can't load chrome pages,1,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Huge battery drain,[0.5203835],1,
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",password not synchronized between firefox accounts on different devices,[0.5815648],0,,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",I am able to type words in Firefox search bar but unable to type anything in the websites,0,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Download is restarted after resuming a paused download,[0.72000945],0,
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox does not load manually entered webpages after device restart or app install if ""Do not keep activities"" is enabled",[0.5655724],0,,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,No option to choose default download folder,1,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Downloads still continue even after exiting or cancelling the app chooser dialogue,[0.6978636],0,
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.5513278],0,,,Browser doesn't work on home Depot website.,Huffington Post homepage will not load,0,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Animated GIFs not working properly on the Samsung Galaxy SII (i9100),[0.6135998],1,
