feedback,issue,distance,,,,,,,1 suggestion,,12/50,,,,,14/100,,,,Matching Bug Report,T5,Matching Bug Report,T5 nouns & verbs,Matching Bug Report,Sentence MiniLM,Matching Bug Report,Sentence MiniLM nouns & verbs
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Quit function is not working. App closes, but tabs still there when you reopen app.",0.81190604,0,,19/150,35/150,,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Quit function is not working. App closes, but tabs still there when you reopen app.",0,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Quit function is not working. App closes, but tabs still there when you reopen app.",0.81190604,0,,,,TRUE,0.80080366,TRUE,0.80170995,TRUE,0.7040476,TRUE,0.7267368
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",after logging in & email verifying for syncing. Firefox does not sync & email verification button still appear & synchronization status is 'never'. nothing at all was synced.,0.8011219,0,,,,,,"I enjoy using it when it is working, it freezes and crashes quite often","I installed firefox beta in my tablet and whenever I try to open it , closes after 2 seconds ,",1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",after logging in & email verifying for syncing. Firefox does not sync & email verification button still appear & synchronization status is 'never'. nothing at all was synced.,0.8011219,0,,,,TRUE,0.71111244,TRUE,0.7954319,TRUE,0.69275475,TRUE,0.7252335
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Firefox iinadvertently and frequently ceases to work. Force stopping doesnt show up. Reinstalling the app has not helped so far.,0.80080366,1,,,,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Over scroll / scroll should not exist when page is fully zoomed out and all the content is in the view port.,0,,"I enjoy using it when it is working, it freezes and crashes quite often","I installed firefox beta in my tablet and whenever I try to open it , closes after 2 seconds ,",0.71111244,1,,,,TRUE,0.71034,TRUE,0.65705454,TRUE,0.6912117,TRUE,0.677662
"I enjoy using it when it is working, it freezes and crashes quite often","I installed firefox beta in my tablet and whenever I try to open it , closes after 2 seconds ,",0.71111244,1,,,,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0,,"I enjoy using it when it is working, it freezes and crashes quite often","Firefox gets stuck when loading a page, device runs hot",0.71034,1,,,,TRUE,0.80776966,TRUE,0.65566564,TRUE,0.5810501,TRUE,0.46887544
"I enjoy using it when it is working, it freezes and crashes quite often","Firefox gets stuck when loading a page, device runs hot",0.71034,1,,,,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Over scroll / scroll should not exist when page is fully zoomed out and all the content is in the view port.,0.82669747,0,,,,TRUE,0.7380252,TRUE,0.6145811,TRUE,0.40998003,TRUE,0.45109832
"I enjoy using it when it is working, it freezes and crashes quite often","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0.70851994,0,,,,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Exiting Settings menu does not repaint the page; a black page is displayed,0.80776966,1,,,,TRUE,0.79235417,TRUE,0.73864275,TRUE,0.57349646,TRUE,0.6428232
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Over scroll / scroll should not exist when page is fully zoomed out and all the content is in the view port.,0.82669747,0,,,,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.749772,0,,,,TRUE,0.75407916,TRUE,0.6507173,TRUE,0.5203835,TRUE,0.4862815
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Exiting Settings menu does not repaint the page; a black page is displayed,0.80776966,1,,,,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"My addons aren't working correctly anymore, and when I try to log in to add-ons, wether from my android device or from PC, I can't",0.73202056,0,,,,TRUE,0.8073905,TRUE,0.7092091,TRUE,0.50321907,TRUE,0.52817476
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Opening link from another app while tab menu is open does not bring new tab to foreground,0.8034276,0,,,,,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Quit function is not working. App closes, but tabs still there when you reopen app.",0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",0.8032886,0,,,,TRUE,0.79981637,TRUE,0.6217523,TRUE,0.69302833,TRUE,0.5164889
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.749772,0,,,,,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox for android hides the top menu when scorlling and it doesn't show itself, nor are there any gestures to make it return on android 4+(phones not tablets as I've not checked them yet)",1,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Intermittent TEST-UNEXPECTED-FAIL | testSettingsMenuItems | Waiting for settings item ^Import from Android$ in section ^Customize$ - The ^Import from Android$ option is present in section ^Customize$,0.79879355,0,,,,TRUE,0.7309969,TRUE,0.6715163,TRUE,0.6135998,TRUE,0.48974955
