feedback,issue,distance,34/150,,,,9/50,,,,,,22/100
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Quit function is not working. App closes, but tabs still there when you reopen app.",0.80170995,1,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Quit function is not working. App closes, but tabs still there when you reopen app.",1,,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Quit function is not working. App closes, but tabs still there when you reopen app.",0.80170995,1
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",after logging in & email verifying for syncing. Firefox does not sync & email verification button still appear & synchronization status is 'never'. nothing at all was synced.,0.79953045,0,,"I enjoy using it when it is working, it freezes and crashes quite often",Firefox shuts down or crashes,1,,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",after logging in & email verifying for syncing. Firefox does not sync & email verification button still appear & synchronization status is 'never'. nothing at all was synced.,0.79953045,0
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Firefox iinadvertently and frequently ceases to work. Force stopping doesnt show up. Reinstalling the app has not helped so far.,0.7954319,1,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Back button doesn't navigate back a page in custom tabs,0,,,"I enjoy using it when it is working, it freezes and crashes quite often",Firefox shuts down or crashes,0.65705454,1
"I enjoy using it when it is working, it freezes and crashes quite often",Firefox shuts down or crashes,0.65705454,1,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Great startup screen, no way to get back to it",0,,,"I enjoy using it when it is working, it freezes and crashes quite often","Firefox crashes, then freezes my device",0.65566564,1
"I enjoy using it when it is working, it freezes and crashes quite often","Firefox crashes, then freezes my device",0.65566564,1,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Fennec Bookmark Management: Collect information on how many users manage bookmarks using folders (create folder, remove folder, move bookmarks/folders into folders)",0,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Back button doesn't navigate back a page in custom tabs,0.74108994,0
"I enjoy using it when it is working, it freezes and crashes quite often","Firefox gets stuck when loading a page, device runs hot",0.6145811,1,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Over scroll / scroll should not exist when page is fully zoomed out and all the content is in the view port.,0.7398258,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Back button doesn't navigate back a page in custom tabs,0.74108994,0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,All downloads fail. Retry button in Downloads tab works in some cases. Possibly related to Android App Protection.,1,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Great startup screen, no way to get back to it",0.62433094,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Over scroll / scroll should not exist when page is fully zoomed out and all the content is in the view port.,0.7398258,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Cannot run mochitests on my phone: ""ADBError: Only one instance of an application may be running at once"" (unexpected pidof output on some devices)",0.6130989,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Exiting Settings menu does not repaint the page; a black page is displayed,0.73864275,1,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Quit function is not working. App closes, but tabs still there when you reopen app.",0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Fennec Bookmark Management: Collect information on how many users manage bookmarks using folders (create folder, remove folder, move bookmarks/folders into folders)",0.794775,0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Great startup screen, no way to get back to it",0.62433094,0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox for android hides the top menu when scorlling and it doesn't show itself, nor are there any gestures to make it return on android 4+(phones not tablets as I've not checked them yet)",0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Intermittent TEST-UNEXPECTED-FAIL | testSettingsMenuItems | Waiting for settings item ^Import from Android$ in section ^Customize$ - The ^Import from Android$ option is present in section ^Customize$,0.7868091,0
