feedback,issue,distance,,23/150,,,,,,,,,17/100,,,Matching Bug Result,Firefox,Matching Bug Result,Nextcloud,Matching Bug Result,Signal,Matching Bug Result,VLC,Matching Bug Result,TOTAL
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Daily update notifications for Summit open web app, which immediately fail when accepted",[0.8655933],0,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Daily update notifications for Summit open web app, which immediately fail when accepted",0,6/50,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Daily update notifications for Summit open web app, which immediately fail when accepted",[0.8655933],0,,,TRUE,0.8490397,TRUE,0.771804,TRUE,0.8073189,TRUE,0.70293653,TRUE,0.8490397
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",[0.8493283],0,,"I enjoy using it when it is working, it freezes and crashes quite often","When scrolling using a flick, overscroll effect always shows, even when not at the limits",0,,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",[0.8493283],0,,,TRUE,0.6620434,TRUE,0.76817214,TRUE,0.73759437,TRUE,0.6883612,TRUE,0.6620434
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Firefox iinadvertently and frequently ceases to work. Force stopping doesnt show up. Reinstalling the app has not helped so far.,[0.8490397],1,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",No doorhanger on about: pages so you can't edit site settings,0,,,"I enjoy using it when it is working, it freezes and crashes quite often","When scrolling using a flick, overscroll effect always shows, even when not at the limits",[0.68784845],0,,,TRUE,0.8603326,TRUE,0.7512155,TRUE,0.7128834,TRUE,0.63817275,TRUE,0.8603326
"I enjoy using it when it is working, it freezes and crashes quite often","When scrolling using a flick, overscroll effect always shows, even when not at the limits",[0.68784845],0,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Couldn't find app to open an rtsp mp4 link,0,,,"I enjoy using it when it is working, it freezes and crashes quite often",Consistently able to crash when double-tapping to zoom in on a link,[0.6620434],1,,,TRUE,0.85568976,TRUE,0.8098813,TRUE,0.70946527,TRUE,0.605291,TRUE,0.85568976
"I enjoy using it when it is working, it freezes and crashes quite often",Consistently able to crash when double-tapping to zoom in on a link,[0.6620434],1,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Share>Copy to Clipboard copies a random link when used in the embedded version of firefox.,0,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",No doorhanger on about: pages so you can't edit site settings,[0.91532826],0,,,TRUE,0.76308036,TRUE,0.89046764,TRUE,0.8084161,TRUE,0.7637931,TRUE,0.76308036
"I enjoy using it when it is working, it freezes and crashes quite often",Zooming on this svg document is very buggy,[0.64029837],0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",0,,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to copy text from any webpage to clipboard,[0.9143672],0,,,TRUE,0.9225447,TRUE,0.85490113,TRUE,0.75498486,TRUE,0.7150563,TRUE,0.9225447
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",No doorhanger on about: pages so you can't edit site settings,[0.91532826],0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Couldn't find app to open an rtsp mp4 link,[0.87501407],0,,,TRUE,0.9128535,TRUE,0.77891904,TRUE,0.77903414,TRUE,0.6582531,TRUE,0.9128535
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to copy text from any webpage to clipboard,[0.9143672],0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Changing Android language settings does not change everything i Firefox for Android (for example : about:),0,,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"""No video with supported format or MIME type found"" is not localized and is hard to understand for users",[0.85044706],0,,,TRUE,0.8706707,TRUE,0.7315086,TRUE,0.75235,TRUE,0.8014606,TRUE,0.8706707
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",There is no context menu for pasting within the editing in a about:config string option,[0.9131682],0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"On some pages, back button navigation does not work until I restart Firefox",0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Share>Copy to Clipboard copies a random link when used in the embedded version of firefox.,[0.8215986],0,,,TRUE,0.8323073,TRUE,0.8070321,TRUE,0.8222178,TRUE,0.6895952,TRUE,0.8323073
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Couldn't find app to open an rtsp mp4 link,[0.87501407],0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",[touchevents] Scrolling doesn't work at all on CooksIllustrated.com website,0,,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Privacy leak reproducing an html5 video, even if in private browsing. Firefox puts a notification in the android notification bar with page title. This notification appears in android notifications log, even if you browsed in private mode",[0.81787753],0,,,TRUE,0.82913274,TRUE,0.8530482,TRUE,0.8048584,TRUE,0.6448489,TRUE,0.82913274
