feedback,issue,distance
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Nighly crashes when opening on Nexus 5,0.710811
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Today's Nightly crashes shortly after being opened,0.69204426
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",[ARMv6] peacekeeper.futuremark.com crashes on firefox 21+,0.69126207
"I enjoy using it when it is working, it freezes and crashes quite often",Research the regular use of FindBugs linting,0.5173476
"I enjoy using it when it is working, it freezes and crashes quite often",JSONUtils is never used.,0.49611232
"I enjoy using it when it is working, it freezes and crashes quite often",We still use ByteBuffer.allocateDirect for large buffers,0.48227948
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.","Provide ""Open all"" button on Reading List page",0.6625895
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.","""Home"" page lists in settings is missing a restore defaults button",0.64128065
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.","Tapping on the ""Visit Site"" button on an Untrusted Connection page doesn't seem to work",0.6244569
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Tab widget doesn't show up on Galaxy Tab/Honeycomb,0.48910987
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Offline apps doorhanger not shown,0.48681334
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,PokerMania app doesn't display properly,0.48608455
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Sync does not work If the browser is stored on the external SD card,0.58563507
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Import 'Bookmarks and History' on devices without the AOSP Android browser,0.56526893
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Firefox Accounts (Sync) - 401 Unauthorized; credentials work fine on other device,0.49446416
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Firefox for Android using insane amounts of battery,0.57438785
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Places maintenance causing excessive battery usage,0.5622878
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos Regression Ts shutdown increase 14% on Android, Nov 4-6",0.5338414
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Downloads immediately fail when connection lost on some devices,0.6239246
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Removing an app from the recent apps launched list and re-running the app causes the app to lose internet connection,0.5810599
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,favicon doesn't refresh with connectivity after no connectivity,0.5712721
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Sync code is renewed each time I put the app in foreground,0.4697742
