feedback,issue,distance,89/150,,,1suggestion,,,36/50,,,,
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Auto-Upload not working whilst vpn is on,[0.8517729],0,,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Auto-Upload not working whilst vpn is on,0,,feedback,issue,distance,64/100
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Android app doesn't login if Nextcloud behind reverse proxy with SSL,[0.8448442],0,,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,1,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Auto-Upload not working whilst vpn is on,[0.8517729],0
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Problem with nextcloud client,[0.843326],0,3,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Sync downloads but doesnt keep in sync,1,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Android app doesn't login if Nextcloud behind reverse proxy with SSL,[0.8448442],0
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,[0.9075734],1,,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud Android app Crashes after logging in,0,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,[0.9075734],1
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",3.0.0: app is crashing whenever I try and enter certain folders,[0.8955506],1,,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Login failed on the app ,1,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",3.0.0: app is crashing whenever I try and enter certain folders,[0.8955506],1
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.","Nextcloud Android app crashes when selecting a folder, switching into gallery mode and go back ",[0.8950554],1,4,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,app not syncing auto upload folder and crashing sometimes,1,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Sync downloads but doesnt keep in sync,[0.86572313],1
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Sync downloads but doesnt keep in sync,[0.86572313],1,,,With the latest update to the app auto upload fails to work.,Auto Upload does not work.,1,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Files are not completely moved from tmp to final destination on sync,[0.86487985],0
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Files are not completely moved from tmp to final destination on sync,[0.86487985],0,,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Battery drain,1,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud Android app Crashes after logging in,[0.89146054],0
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Missbehaviour on syncing big folders,[0.86052155],0,5,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Can not log in to my accounts by Android application. ,1,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud andriod app keeps crashing,[0.8881966],1
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud Android app Crashes after logging in,[0.89146054],0,,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Recurring login screen,1,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Login failed on the app ,[0.88274854],1
