feedback,issue,distance,53/150,,,,20/50,,feedback,issue,distance,37/100
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.6293011,0,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.6293011,0
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Client app doesn't (reliably) work on WiFi but works over 3g/4g,0.6202818,1,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,1,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Client app doesn't (reliably) work on WiFi but works over 3g/4g,0.6202818,1
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.6145191,0,3,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",1,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,0.69164973,1
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,0.69164973,1,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",3.0.0: app is crashing whenever I try and enter certain folders,0.6844524,1
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",3.0.0: app is crashing whenever I try and enter certain folders,0.6844524,1,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",App crashes when trying to login with 2FA notifications enabled,1,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.833664,1
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.","Nextcloud Android app crashes when selecting a folder, switching into gallery mode and go back ",0.67578864,1,4,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,3.0.0: app is crashing whenever I try and enter certain folders,1,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.8205485,0
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.833664,1,,With the latest update to the app auto upload fails to work.,Auto Upload does not work.,1,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7948418,0
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.8205485,0,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7811619,0
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.","Nexcloud Android ""Account"" disappears after reboot, when nextcloud app has been moved to sdcard, sdcard formatted as internal storage (Android 6.0)",0.7925147,0,5,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",App crashes when trying to login with 2FA notifications enabled,0.61063665,1
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7948418,0,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠","Can't use the app anymore after update to 3.3: ""Wrong login details""",0.6103229,1
