feedback,issue,distance,50/150,,,,21/50,,feedback,issue,distance,51/100
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",Sometimes I don't receive Signal Messages until I open the app,[0.8760274],1,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",Sometimes I don't receive Signal Messages until I open the app,1,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",Sometimes I don't receive Signal Messages until I open the app,[0.8760274],1
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","Signal suddenly showing ""Retrieving a message"" notification and eating LOTS of battery",[0.8679081],0,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.","In-app camera does not focus, pictures are not sharp",1,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","Signal suddenly showing ""Retrieving a message"" notification and eating LOTS of battery",[0.8679081],0
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",Not getting notification in real time unless I open the app,[0.8630023],1,3,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","When being in a chat in TextSecure and then leaving TextSecure (i.e. going to home screen for example) and then going back to TextSecure, TextSecure goes to the contact list instead of going back to the chat.",1,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",Not getting notification in real time unless I open the app,[0.8630023],1
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.","In-app camera does not focus, pictures are not sharp",[0.86926544],1,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Shutter button is too small/tiny/unusable via ""Add attachment""/""Camera""",0,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.","In-app camera does not focus, pictures are not sharp",[0.86926544],1
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",In-app camera shows different images for preview and captured,[0.866176],1,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Can't rename MMS group chat,0,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",In-app camera shows different images for preview and captured,[0.866176],1
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",Quick capture preview with front camera doesn't match the actual taken picture,[0.8627274],1,4,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",Sometimes problems sending textmessages,1,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",Quick capture preview with front camera doesn't match the actual taken picture,[0.8627274],1
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","When being in a chat in TextSecure and then leaving TextSecure (i.e. going to home screen for example) and then going back to TextSecure, TextSecure goes to the contact list instead of going back to the chat.",[0.8591138],1,,"General a good secure app, voice calls sometimes glitches.",Secure call problem,1,,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","When being in a chat in TextSecure and then leaving TextSecure (i.e. going to home screen for example) and then going back to TextSecure, TextSecure goes to the contact list instead of going back to the chat.",[0.8591138],1
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",Button for new message in conversation list is too dark,[0.85207915],0,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",Sometimes I don't receive Signal Messages until I open the app,1,,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",Button for new message in conversation list is too dark,[0.85207915],0
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","In dark theme, text too dark when starting new conversation from ""+""",[0.8472619],0,5,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,Cannot establish a secure SMS session anymore,1,,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","In dark theme, text too dark when starting new conversation from ""+""",[0.8472619],0
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Shutter button is too small/tiny/unusable via ""Add attachment""/""Camera""",[0.86311376],0,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"""Mute notifications"" doesn't completely(?) mark new messages as read.",1,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Shutter button is too small/tiny/unusable via ""Add attachment""/""Camera""",[0.86311376],0
