feedback,issue,distance,17��150,,,,5/50,,,feedback,issue,distance,12/100
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.78024405,0,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0,,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.78024405,0
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.78011036,0,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0,,,"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.78011036,0
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.76945466,1,3,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0,,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.7890723,0
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.7890723,0,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.77295566,0
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.77295566,0,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],0,,,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0.7788398,0
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.7673513,0,4,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0,,,"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",[SOLVED] Signal doesn't add itself as account in Settings/ Accounts and can't be added either (greyed out) -> no contacts,0.77592933,0
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0.7788398,0,,"General a good secure app, voice calls sometimes glitches.","Android Auto - No audible alerts for secure msg, SMS alerts even when muted.",0,,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.76720774,0
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",[SOLVED] Signal doesn't add itself as account in Settings/ Accounts and can't be added either (greyed out) -> no contacts,0.77592933,0,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0,,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.7578532,0
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.77316433,0,5,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0,,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],0.79101783,0
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.76720774,0,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,1,,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),0.7903077,0
