feedback,issue,distance,,,
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.6641539,1,,23/150
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?",Not getting notification in real time unless I open the app,0.66257906,1,,
"The worst app i have ever seen. By the way i dont get any notification about new messages. I only see messages whenever i remember Signal app exists in my phone, i go on the app click on it then see messages that have been waiting for ages come up. why is it like that?","If you enable repeat alert then if you see the message and lock the device, when unlocking it does the notification sound again",0.6601199,0,,
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.720712,0,,
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.70239073,0,,
"Newest update changes camera to add features, but drastically reduces quality of photos. Now it seems like the app just takes a screenshot of the viewfinder, rather than taking a photo and gaining from software postprocessing on my phone. I'm sure it made sense to add these features, but the app is much less useful to me now with a worse camera.","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",0.7023902,0,,
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",[Proposal for a registration improvement] When registering a tablet w/o SMS functions and using temporarily a second SMS enabled device: allow to manually enter the six-digit code during step 2,0.75345945,0,,
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window","When tapping on a contact picture a toast message ""No apps for viewing this contact available"" (Translation from German) appears and contact details are not displayed",0.7355536,0,,
"Just like Whatsapp but safer and with Dark Mode but without these features: - Deleted messages only are deleted from your side. - The link preview for YouTube doesn't work properly as of 02/2020, after months of users complaining about it. For me it worked only one time- When you have an open chat and you go to another app and then return to the app, it always comes back to the list of Signal contacts window, not to the active chat window",Automatically remove leading 0 in UK numbers stored in phone otherwise can receive not send Signal messages to numbers of +440xxxxxxxxxx (zero after the country code),0.71318716,0,,
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Sharing an image sometimes opens two editor dialogs, causes double message",0.69626236,0,,
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","Profiles: no way to hide the ""share profile with group"" message",0.68450546,0,,
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","profiles: the ""share profile banner"" takes so much space that the quick reply function does not even display the first unread message",0.6828842,0,,
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.","Groups: No way to hide the ""make your profile name and photo visible to the group"" nag message",0.67347217,0,,
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",You can still send messages when you are left alone in a group,0.66432714,0,,
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",How do I send a message to several people WITHOUT creating a group?,0.6593542,0,,
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.7241763,0,,
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",[Proposal for a registration improvement] When registering a tablet w/o SMS functions and using temporarily a second SMS enabled device: allow to manually enter the six-digit code during step 2,0.7031569,0,,
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",0.7020178,0,,
"General a good secure app, voice calls sometimes glitches.",old app shows deleted contacts when synced with new app on different device.,0.6450062,0,,
"General a good secure app, voice calls sometimes glitches.","Android Auto - No audible alerts for secure msg, SMS alerts even when muted.",0.63869953,0,,
"General a good secure app, voice calls sometimes glitches.",Signal is my default SMS app but incoming messages are routed to Hangouts,0.62971103,0,,
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.7193779,0,,
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",0.6980412,0,,
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","Holy shit, what a way to respond to a valid point. Sorry for bothering your highness with my banalities!",0.69086355,0,,
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.68035465,0,,
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,[Proposal for a registration improvement] When registering a tablet w/o SMS functions and using temporarily a second SMS enabled device: allow to manually enter the six-digit code during step 2,0.6576892,0,,
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,Cannot run a new server ( got an error for messegeCache ),0.65178096,0,,
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,Android 8 notification dot does not display until there are multiple threads with unread messages,0.7183521,1,,
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,muting doesn't work if you get another message,0.6764591,0,,
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"""Mark as read"" feature from notification channel not working if there are multiples senders",0.67275584,0,,
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.","App will send SMS over data when recipient no longer has TextSecure installed, no way to revert back to unencrypted messaging",0.7052732,0,,
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.6800024,0,,
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.","Signal 4.58.5 creates backups it cannot restore: ""Cannot restore backup from newer version of Signal""",0.67833436,1,,
"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.6907654,0,,
"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.6887394,0,,
"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.670888,0,,
"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.6862747,0,,
"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.6810338,0,,
"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",Received same message in a group chat 5 times; Android app prompts user to resend unsent message to group once per user,0.61563957,0,,
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.72940946,0,,
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",0.7265053,0,,
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","When tapping on a contact picture a toast message ""No apps for viewing this contact available"" (Translation from German) appears and contact details are not displayed",0.7043066,0,,
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Group chats are lost(!) if disappearing messages are enabled and cannot be recovered,0.6846886,1,,
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Calls always income as missed ones without ringing and Signal doesn't report the call failed,0.6553345,0,,
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,"Group vanishes, changes to weird number and is an MMS contact after that... reappers after sending message via Desktop, but history on phone is empty",0.6546743,0,,
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.69061124,0,,
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",0.67961586,0,,
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.67566144,0,,
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,audio calls from android ==> IOS keep using old protocol even after update!,0.6667469,0,,
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,"Group vanishes, changes to weird number and is an MMS contact after that... reappers after sending message via Desktop, but history on phone is empty",0.6651768,0,,
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,"Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0.6612263,1,,
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Sending a video after playing it in the preview does not stop video playback,0.72541225,0,,
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",[Proposal for a registration improvement] When registering a tablet w/o SMS functions and using temporarily a second SMS enabled device: allow to manually enter the six-digit code during step 2,0.7249448,0,,
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.","When tapping on a contact picture a toast message ""No apps for viewing this contact available"" (Translation from German) appears and contact details are not displayed",0.722892,0,,
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Outgoing msgs to non-TS users not shown. New incoming msgs (if received) not brought to top of list.,0.6618538,0,,
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Group messages that are only sent to some of the members may be sent multiple times to all users when attempting to resend.,0.6566515,0,,
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",timestamps on message bubbles are not updated as long as no new message is send or received,0.6328932,0,,
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.57249105,0,,
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,muting doesn't work if you get another message,0.5678659,0,,
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,"I get their messages, but they don't get my ones",0.5509476,0,,
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.7643418,0,,
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,[Proposal for a registration improvement] When registering a tablet w/o SMS functions and using temporarily a second SMS enabled device: allow to manually enter the six-digit code during step 2,0.75196105,0,,
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,cannot re-register signal after attempting to move back to an android phone from an apple phone,0.7437306,0,,
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.68801785,0,,
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"Can't call or recieve call, always gets a misscall",0.6815175,0,,
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,Signal sent a lot of SMS messages without any reason (repeated the same message to same person),0.6751609,0,,
"I received odd texts after installing this app. Will not use as a default, too scary.",Project Fi: not receiving SMS messages through Signal when set as default app,0.70144016,0,,
"I received odd texts after installing this app. Will not use as a default, too scary.","Native Android app sometimes captures messages, but Signal is the default app",0.6882834,0,,
"I received odd texts after installing this app. Will not use as a default, too scary.",Can't display chat after reset when not default SMS app,0.6676336,0,,
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.6720743,0,,
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0.6700277,0,,
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.66905725,0,,
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Messages take a long time to appear on the phone but seem to be delivered correctly,0.76140785,1,,
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Messages can take hours to be received,0.70188,1,,
