app,feedback,issue,distance,fitting_issue,temp,,62/150,,Macthing Bug Report,Syncthing,,,,30/50,,feedback,issue,distance,50/100,,,,"        Approach 
 

App   ",T5,,,Sentence T5,,,Sentence miniLM,,,Sentence bert,,,DeepMatcher,,
syncthing,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",[Android] Filename case renaming issue (sync between pc and android). File gets removed.,0.60878146,TRUE,tp,,,,TRUE,0.60878146,,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",[Android] Filename case renaming issue (sync between pc and android). File gets removed.,1,,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",[Android] Filename case renaming issue (sync between pc and android). File gets removed.,[0.60878146],1,,,,,1 suggestion(total=50),2 suggestions(total=100),3 suggestions(total=150),1 suggestion(total=50),2 suggestions(total=100),3 suggestions(total=150),1 suggestion(total=50),2 suggestions(total=100),3 suggestions(total=150),1 suggestion(total=50),2 suggestions(total=100),3 suggestions(total=150),1 suggestion(total=50),2 suggestions(total=100),3 suggestions(total=150)
syncthing,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",Failure to detect renames/moves causes data loss,0.59401965,TRUE,tp,,,,TRUE,0.59401965,,The only way I can get it to sync is to restart the daemon,syncing is stuck.,1,,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",Failure to detect renames/moves causes data loss,[0.59401965],1,,,,Firefox,0.24,0.14,0.13,0.62,0.56,0.55,0.58,0.55,0.54,0.12,0.17,0.12,0.34,0.27,0.25
syncthing,"IMPORT+N5:N13ANT: DATA LOSS will happen if you: - replace an underscore '_' with a dash '-' in a file or folder name shared from a PC. - change the capitalization of a letter (For example change 'a' to 'A') in a file or folder name shared from a PC. The renamed item will be deleted on all devices without notice the next time SyncThing on Android synchronizes. Google: ""SyncThing Renaming caused file deletion bug."" I have unknowingly lost a bunch of files over time due to this.",Syncthing deletes directory leading to data loss.,0.5909722,FALSE,tp,,,3,FALSE,0.5909722,,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,"""Out of Sync"" errors if syncing with android",1,,"R/W folder is ""out of sync"" and just sits there and does nothing.",Unable to share (partially) R/W folder,[0.7129775],0,,,,Nextcloud,0.28,0.25,0.25,0.72,0.64,0.59,0.64,0.63,0.6,0.18,0.17,0.14,0.46,0.45,0.39
syncthing,"R/W folder is ""out of sync"" and just sits there and does nothing.",Unable to share (partially) R/W folder,0.7129775,FALSE,tp,,,,FALSE,0.7129775,,Not syncing files. It says 900MB/900MB done but the folder is 200GB...,Folder not syncing fully....,1,,"R/W folder is ""out of sync"" and just sits there and does nothing.",Folder not syncing fully....,[0.6423877],1,,,,VLC,0.04,0.4,0.04,0.4,0.31,0.27,0.28,0.28,0.23,0.2,0.19,0.17,0.3,0.2,0.17
syncthing,"R/W folder is ""out of sync"" and just sits there and does nothing.",Folder not syncing fully....,0.6423877,TRUE,tp,,,,TRUE,0.6423877,,It doesn't always start when plugged into AC power when set to only run on AC for battery savings.,adding option to stop syncing when running on battery or trying to save power,0,,The only way I can get it to sync is to restart the daemon,syncing is stuck.,[0.7126055],1,,,,Signal,0.1,0.12,0.02,0.42,0.51,0.34,0.44,0.4,0.37,0.18,0.24,0.19,0.28,0.33,0.3
syncthing,"R/W folder is ""out of sync"" and just sits there and does nothing.","Symlinks are disabled, unsupported or require Administrator priviledges. This might cause your folder to appear out of sync",0.6261385,TRUE,tp,,,4,TRUE,0.6261385,,"Started freezing and crashing immediately while trying to synchronize a few GiB over WiFi. Finally deleted several GiB from the source thanks to lousy defaults, poor UI, and general unreliability. Don't use for anything at all valuable until you're sure all your settings are perfect and everything is backed up twice over.",Syncthing crashes immediately,1,,The only way I can get it to sync is to restart the daemon,syncthing refuses to sync,[0.70530975],1,,,,,,,,,,,,,,,,,,,
syncthing,The only way I can get it to sync is to restart the daemon,syncing is stuck.,0.7126055,TRUE,tp,,,,TRUE,0.7126055,,Version 18.3 keeps crashing. Fix?,100% crash version 1.1.0 on XP/W2003,1,,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,Out of Sync errors if syncing with android,[0.66359115],1,,,,,,,,,,,,,,,,,,,
syncthing,The only way I can get it to sync is to restart the daemon,syncthing refuses to sync,0.70530975,TRUE,tp,,,,TRUE,0.70530975,,"I was only looking for a way to send a folder from one device to another. Looking for options I stumble upon this app. I thought it will easily sync both my device but I soon as I open it, I have no idea what to do. Checked out some tutorials but it doesn't seem to connect with my other device. Overall, this app is for advance users. UI is clean & easy to navigate but everything else is not newbie friendly, so I'll pass on this one.",How would one user syncthing w Android and iOS devices?,1,,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,Out of sync problem,[0.6585753],1,,,,,,,,,,,,,,,,,,,
syncthing,The only way I can get it to sync is to restart the daemon,Sync not working,0.6888724,TRUE,tp,,,5,TRUE,0.6888724,,"Can't fathom where the heck to get a 'device id' for a server directory. Very hard to find help, not well structured.",v0.11: Device ID empty when accepting folder,1,,Not syncing files. It says 900MB/900MB done but the folder is 200GB...,Folder not syncing fully....,[0.7914155],1,,,,,,,,,,,,,,,,,,,
syncthing,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,"""Out of Sync"" errors if syncing with android",0.66359115,TRUE,tp,,,,TRUE,0.66359115,,Doesn't connect,can not connect service,1,,Not syncing files. It says 900MB/900MB done but the folder is 200GB...,Very Very Large Files will not Sync,[0.77448326],1,,,,,,,,,,,,,,,,,,,
