feedback,issue,distance,,28/150
"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.6976677],,1
"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.6712879],,0
"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro","Tap the bubble when set jump to time, the VLC will be stopped.",[0.66297495],,0
"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!","Change Playback speed as low and restore,the video will not play smoothly",[0.64188874],,1
"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",Sorting of audio lost following screen refresh,[0.6404027],,1
"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",Forgets video when paused while playing as audio,[0.6174428],,1
"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.5964314],,1
"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",VLC on Android often loses track of the network drive it's been reading,[0.56410235],,0
"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",Headphone Controls not working correctly (works on other apps),[0.5554657],,0
"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.","Video playback can fail to start, freezing the whole app",[0.63848037],,0
"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.",Android: Changed playback speed is forgotten after app is sent to background,[0.60804665],,1
"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.",Lockscreen control does not resume playing after pausing.,[0.58794594],,0
"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.","Video playback can fail to start, freezing the whole app",[0.67112035],,1
"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.67081344],,0
"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.",Android: Changed playback speed is forgotten after app is sent to background,[0.6504278],,0
"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.63982344],,0
"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.6282887],,1
"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.",Streaming to chromecast with delay and interrupts,[0.62684643],,1
"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.",Unresponsive interface / general slowness with lots of audio files in the media library,[0.5761708],,1
"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.","Video playback can fail to start, freezing the whole app",[0.57492113],,0
"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.",Unable to fast forward or fast rewind in a *.ts file at playback,[0.55652153],,0
Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,Sorting of audio lost following screen refresh,[0.6346721],,0
Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,"Change Playback speed as low and restore,the video will not play smoothly",[0.625458],,0
Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,Android: Changed playback speed is forgotten after app is sent to background,[0.6174613],,0
Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,Headphone Controls not working correctly (works on other apps),[0.60071963],,0
Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.57514775],,0
Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.56202245],,0
Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,YouTube video doesn't play anymore,[0.6678698],,0
Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,Videos fail to played by VLC player after the firsttime,[0.6325422],,0
Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,"Exceptions in VLC-android latest build, when network streams are played.",[0.6041472],,0
The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,Video is being played properly but display is blank,[0.5039854],,0
The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,"Change Playback speed as low and restore,the video will not play smoothly",[0.45888147],,0
The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,"Video playback can fail to start, freezing the whole app",[0.44330758],,0
