feedback,issue,distance,26/150,,,,10/50,,feedback,issue,distance,,19/100
"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7269925],0,,"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,0,,"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7269925],,0
"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",VLC service stops somethimes after home button tapped,[0.70293653],1,,"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",Video is being played properly but display is blank,0,,"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",VLC service stops somethimes after home button tapped,[0.70293653],,1
"Its a great app, no doubt but I have an issue or lemme say I have some stuffs that's always happening in which I don't like. 1. Once I minimize my VLC in which I was using to watch a movie to attend to another app and I end up going back to it, VLC just stops and makes me start my movie all over again. 2. Why does the app just stop just like that all of a sudden after I've opened it if it's gets minimized? BTW I use an Infinix Note 4 Pro",VLC encountered an error with this media. Please try refreshing the media library,[0.6883612],1,,"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",VLC on Android often loses track of the network drive it's been reading,0,,"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",Video is being played properly but display is blank,[0.6585368],,0
"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",Video is being played properly but display is blank,[0.6585368],0,,"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.",Scrub backward quickly doesn't work (Android),0,,"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",VLC encountered an error with this media. Please try refreshing the media library,[0.65402913],,0
"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",VLC encountered an error with this media. Please try refreshing the media library,[0.65402913],0,,"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.","Tap the bubble when set jump to time, the VLC will be stopped.",1,,"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",VLC on Android often loses track of the network drive it's been reading,[0.63959765],,0
"It's really nice overall, though some bugs still occur: •The screen goes gray sometimes while playing a video. •When playing audio, it stops after a few seconds, then it continues playing. Also, these are some functions I'd really appreciate: •Frame by frame. •Screenshot. Hope you're giving this a read. Thanks!",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.63817275],1,,"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.","VLC Android Crash always after some events (Folder scan preferences, for example)",0,,"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.605291],,1
"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",VLC on Android often loses track of the network drive it's been reading,[0.63959765],0,,"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.","Bookmarks needed; Randomly Shuts Off, Latest verion, Samsung Gal Note 4",0,,"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.",Scrub backward quickly doesn't work (Android),[0.74913734],,0
"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.605291],1,,Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,"No video on the new Nexus 7, only audio seems to work",1,,"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.","Video playback can fail to start, freezing the whole app",[0.74106324],,0
"Occasionally glitches in terms of playback and refreshing new content added to my phone, but otherwise works well. Been using it for years.",Headphone Controls not working correctly (works on other apps),[0.54978794],0,,Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",0,,"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.","Tap the bubble when set jump to time, the VLC will be stopped.",[0.7637931],,1
"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.",Scrub backward quickly doesn't work (Android),[0.74913734],0,,Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,VLC on Android often loses track of the network drive it's been reading,0,,"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.",VLC service stops somethimes after home button tapped,[0.7150563],,1
